路線,順序,代號,名稱
1,1,K14,李科永
1,2,K13S,士林替
1,3,KOB2,社子島
1,4,L32,關渡宮
1,5,L12,稻香
1,6,L23,秀山
1,7,L11,北投
1,8,L14,清江
1,9,L15,吉利
1,10,L21,永明
1,11,L13,石牌
1,12,K12,天母
1,13,K11,葫蘆堵
1,14,F12,大同
1,15,KOB,百齡智慧
1,16,A13,三民
2,1,AFB2,小巨蛋
2,2,DFB,行天宮
2,3,COB,東區地下街智慧圖書館
2,4,A14,中崙
2,5,E12,城中
2,6,C23,龍安
2,7,E11,王貫英
2,8,EOB2,古亭智慧
2,9,E31,南機場
2,10,GOB,太陽圖書
2,11,EFB2,小南門
2,12,F11,延平
2,13,F13,建成
2,14,D12,長安
2,15,F21,蘭州
2,16,AOB,松山機場
3,1,C01,總館
3,2,C01M,視聽室
3,3,B11,永春
3,4,BFB,臺北市政府
3,5,B13,六合
3,6,B12,三興
3,7,EFB,臺北車站
3,8,D11,中山
3,9,D21,恆安
3,10,A12,民生
3,11,A15,啟明
3,12,A11,松山替
3,13,AFB,松山車站
4,1,B14,廣慈
4,2,I21,龍華
4,3,I31,北原
4,4,I11,南港
4,5,IFB,南港車站
4,6,I22,親子美育
4,7,I12,舊莊
4,8,J12,東湖
4,9,J11,內湖
4,10,J13,西湖
4,11,J14,西中
4,12,D13,大直
5,1,H23,萬芳
5,2,H14,萬興
5,3,H12,木柵
5,4,H22,安康
5,5,H16,力行
5,6,H15,文山
5,7,H17,景新
5,8,H11,景美
5,9,C11,道藩
5,10,C22,成功
5,11,CFB,信義安和
5,12,C21,延吉
6,1,G14,萬華
6,2,G13,西園
6,3,G11,龍山
6,4,G21,柳鄉
6,5,G12,東園
